resource_name,matched_term,label,pmcid,paragraph_text
UniProt,UniProt,1,PMC12125710,"Brandes et al., BERT (188) 106M Protein derived from UniProtKB/UniRef90 Zhang et al., BERT (449) 556,603 Protein Sequences from UniProt Zhang et al. Transformer (418) TCGA Data, and PBMC Data Prihoda et al. RoBERTa (422) 160GB of text"
TCGA,TCGA,1,PMC12125710,"Brandes et al., BERT (188) 106M Protein derived from UniProtKB/UniRef90 Zhang et al., BERT (449) 556,603 Protein Sequences from UniProt Zhang et al. Transformer (418) TCGA Data, and PBMC Data Prihoda et al. RoBERTa (422) 160GB of text"
Transformer,Transformer,0,PMC12125710,"Zhang et al., BERT (148) ProteinKG25 Dataset (612,483 entities, 4,990,097 triples) Lee et al. BERT (447) Biomedical Domain Corpus Rao et al. Transformer (155) Pfam Dataset Wang et al. RoBERTa (419) 565 254 Protein Sequences from Swiss-Prot"
Pfam,Pfam,1,PMC12125710,"Zhang et al., BERT (148) ProteinKG25 Dataset (612,483 entities, 4,990,097 triples) Lee et al. BERT (447) Biomedical Domain Corpus Rao et al. Transformer (155) Pfam Dataset Wang et al. RoBERTa (419) 565 254 Protein Sequences from Swiss-Prot"
UniProt,Swiss-Prot,1,PMC12125710,"Zhang et al., BERT (148) ProteinKG25 Dataset (612,483 entities, 4,990,097 triples) Lee et al. BERT (447) Biomedical Domain Corpus Rao et al. Transformer (155) Pfam Dataset Wang et al. RoBERTa (419) 565 254 Protein Sequences from Swiss-Prot"
ENA,European Nucleotide Archive,1,PMC9672531,"# DATA AVAILABILITY ## UNDERLYING DATA European Nucleotide Archive: Dolichovespula sylvestris (tree wasp)."
WASP,WASP,0,PMC9672531,"# DATA AVAILABILITY ## UNDERLYING DATA European Nucleotide Archive: Dolichovespula sylvestris (tree wasp)."
CORE,CORE,0,PMC9672531,"Sequencing was performed by the Scientific Operations core at the Wellcome Sanger Institute on Pacific Biosciences SEQUEL II (HiFi) and Illumina NovaSeq 6000 (10X) instruments."
WASP,WASP,0,PMC9672531,"# ABSTRACT We present a genome assembly from an individual maleDolichovespula sylvestris(the tree wasp; Arthropoda; Insecta; Hymenoptera; Vespidae)."
WASP,WASP,0,PMC9672531,"# TITLE The genome sequence of the tree wasp,Dolichovespula sylvestrisScopoli, 1763"
MAP,MAP,0,PMC10703934,"The map of 2000 years BP is based on Ref.4."
NCT,NCT,0,PMC12180258,"# ABSTRACT ## OBJECTIVE This study aims to evaluate the clinical efficacy of neoadjuvant chemoradiotherapy (NCRT), neoadjuvant chemotherapy (NCT), and neoadjuvant CT plus immunotherapy (NICT) in locally advanced esophageal squamous cell carcinoma (ESCC)."
NCT,NCT,0,PMC12180258,"The results showed that NICT was independently associated with improved OS (HR = 0.62, 95% CI 0.41–0.93,p= 0.021) compared to NCT."
NCT,NCT,0,PMC12180258,"# METHODS ## STUDY DESIGN AND PATIENT SELECTION This retrospective study included patients diagnosed with locally advanced ESCC (clinical stage II-IV) who underwent treatment with NCRT or NCT with or without immunotherapy, followed by surgical resection between March 2020 and March 2024 at Meizhou People’s Hospital."
NCT,NCT,0,PMC12180258,"NICT cohort exhibited superior survival, with a median overall survival not reached compared to 31.2 months (95% CI 26.4–36.0) for NCRT and 34.5 months (95% CI 28.7–40.3) for NCT."
NCT,NCT,0,PMC12180258,"Neoadjuvant Chemotherapy (NCT): docetaxel 60 mg/m² on Day 1, cisplatin 60 mg/m² on Day 1, and 5-fluorouracil 600 mg/m² continuous infusion over 24 h for 5 days), repeated every 3 weeks for 2–3 cycles."
NCT,NCT,0,PMC12180258,"Despite concerns about immunotherapy exacerbating chemotherapy toxicity, NICT showed lower hematologic toxicity than NCT/NCRT, possibly due to shorter chemotherapy cycles (median 2 vs. 3 cycles in NCRT)."
NCT,NCT,0,PMC12180258,"Of these, 30 patients received NCT, 61 received NCRT, and 84 received NICT."
NCT,NCT,0,PMC12180258,"Standard treatment for resectable ESCC includes NCT or NCRT followed by radical esophagectomy."
NCT,NCT,0,PMC12180258,"However, findings from CMISG1701, JCOG1109, and a recent network meta-analysis suggest that NCRT may not confer additional survival benefits compared to NCT alone [7–9]."
NCT,NCT,0,PMC12180258,"Despite advances in neoadjuvant therapy for ESCC, the integration of immunotherapy into preoperative regimens lacks robust comparative evidence against conventional NCT/NCRT, particularly regarding long-term survival and surgical safety—a gap our study directly addresses [17]."
NCT,NCT,0,PMC12180258,"Studies such as CROSS, NEOCLTEC5010, and JCOG9907 have demonstrated that neoadjuvant chemoradiotherapy (NCRT) or neoadjuvant chemotherapy (NCT) extends overall survival compared to surgery alone in locally advanced ESCC [3–6]."
NCT,NCT,0,PMC12180258,"In this context, our study aims to evaluate the efficacy and safety among NCT, NCRT, and NICT in terms of oncologic efficacy, treatment-related adverse events, rates of subsequent surgery, and postoperative recovery for resectable locally advanced ESCC."
NCT,NCT,0,PMC12097862,"However, studies that compared the efficacy of NCET and NET/NCT in ER+ breast cancer patients were still limited, and only one known systematic review analyzed the efficacy of three different neoadjuvant regimens in terms of pCR and overall response rate (ORR) in HR-positive breast cancer."
NCT,NCT,0,PMC12097862,"The search keywords include breast cancer, breast neoplasm, breast tumor, breast carcinoma, locally advanced breast cancer, NET (treatment), neoadjuvant therapy, NCT, and neoadjuvant chemo-endocrine therapy (treatment)."
NCT,NCT,0,PMC12097862,"Second, the number of studies reporting CR and pCR numbers was limited between NCET and NET/NCT groups."
NCT,NCT,0,PMC12097862,"SELECTION CRITERIA The inclusion criteria were as follows: (1) adult patients diagnosed with ER+ breast cancer (Population); (2) studies that evaluated the effectiveness of NET, NCT, or NCET (Intervention and Comparator); (3) studies reporting at least one of the following outcomes (Outcomes): cRR, cCR rate, pCR rate, and BCS rate; and (4) prospective or retrospective design studies (Study design)."
NCT,NCT,0,PMC12097862,"For instance, previous studies have reported that NET yielded a similar clinical response rate (cRR) to NCT while exhibiting lower toxicity [7]."
NCT,NCT,0,PMC12097862,"Because the number of studies comparing the difference in efficacy between NCET and NET/NCT is small, the available data only supported the subgroup analysis of CR and pCR."
NCT,NCT,0,PMC12097862,"Regarding CR, the pooled results for HER-2− subgroups were consistent with the original analysis, with fewer CR patents in the NET group than in the NCT group (OR = 0.50; 95% CI = 0.36 to 0.69;I2= 41.1%)."
NCT,NCT,0,PMC12097862,"Based on menopausal status, NR subgroup analysis showed that there was no difference in the number of CR between the NCET group and the NCT/NET group (OR = 0.94; 95% CI = 0.08 to 11.08;I2= 78.5%)."
TISSUES,TISSUES,0,PMC12107126,"Genome annotation and functional annotation were then performed using BRAKER3 (35) (SI Appendix) with a combination of RNAseq data from multiple tissues and cell types of NWR and SWR (SI Appendix, Table S2) and five protein datasets (SI Appendix, Table S3)."
MAP,MAP,0,PMC12107126,"To investigate this, we employed OGM (OGM; Bionano) data from three SWR individuals (one male and two females) to rescaffold the published SWR assembly using each individual’s specific optical genome map (SI Appendix)."
ORDER,ORDER,0,PMC12107126,"We aligned all annotated genes in EquCab3.0 to CerSimCot1.0 (SI Appendix) and observed a strong conservation of the gene order between horse and NWR"
RPS,RPS,0,PMC12107126,"BACs for RPS6 (INRA-0326E11) and GNMT (INRA-228G6) were eliminated from the data because the correct gene name could not be identified even though these genes can be mapped well to EquCab3.0."
RPS,RPS,1,PMC11439906,"The RPS database (http://rps.renlab.org) offers a comprehensive repository of RNAs associated with LLPS across 20 distinct biomolecular condensates in viruses and eukaryotes."
RPS,RPS,1,PMC11439906,"A total of 7,442 LLPS-associated genes were identified using the RPS database, available athttp://rps.renlab.org."
GOC,GO,1,PMC11439906,"GO functions and KEGG pathway enrichment annotations were applied to 406 sample risk files."
KEGG,KEGG,1,PMC11439906,"GO functions and KEGG pathway enrichment annotations were applied to 406 sample risk files."
GEO,GEO,1,PMC11439906,"The GSE13507 dataset was accessed from GEO (Gene Expression Omnibus) at http://www.ncbi.nlm.nih."
GEO,Gene Expression Omnibus,1,PMC11439906,"The GSE13507 dataset was accessed from GEO (Gene Expression Omnibus) at http://www.ncbi.nlm.nih."
ENA,NCBI,0,PMC11439906,"The GSE13507 dataset was accessed from GEO (Gene Expression Omnibus) at http://www.ncbi.nlm.nih."
ENA,NCBI,0,PMC11408262,"The functional annotation of the resulting single coordinated network was performed using custom scripts to search the PubMed database (https://www.ncbi.nlm.nih.gov/pubmed/)."
SEED,SEED,0,PMC11408262,"We identified an extrinsic network of 45 regulatory genes from seed genes in brain regions involved in self-regulation of emotional reactivity to extracellular stimuli (e.g., self-regulation of anxiety) and an intrinsic network of 43 regulatory genes from seed genes in brain regions involved in self-regulation of interpretations of meaning (e.g., production of concepts and language)."
SEED,SEED,0,PMC11408262,"The co-localized genes were used as seeds to identify the non-seed genes required to maintain network connectivity using bioinformatic resources about their known gene-gene interactions relevant to their whole lifespan, not just at one point in time."
SEED,SEED,0,PMC11408262,"These included 13 seed GET genes, 19 TFs, 9 miRNAs and 3 protein coding genes (Fig.S3)."
SEED,SEED,0,PMC11408262,"These included 10 out of the 11 seed GET genes, 20 TFs, 10 miRNAs and 4 protein-coding genes (Supplementary FigureS3, TableS9)."
DISEASES,DISEASES,0,PMC11408262,"The retrieved articles were manually inspected, and the functions of the genes were categorized based on known functions and related diseases, and then curated results were stored."
CORE,CORE,0,PMC11408262,"Functional annotation indicated that these genes operate as the core regulatory hub by which personality orchestrates neuronal plasticity, development, and epigenetic change to coordinate adaptive changes in gene expression and epigenesis."
CORE,CORE,0,PMC11408262,"However, to fully appreciate the complexity of the components of the molecular integration network associated with human personality, it is essential to retrace its network structure to appreciate how a core hub of six genes can coordinate many specialized modules in a human way."
SEED,SEED,1,PMC11984159,"The SEED tool (11) was used to predict functional genes in subsystem categories."
SEED,SEED,1,PMC11984159,"The SEED tool predicted 112 genes for the metabolism of aromatic compounds including genes encoding eight aromatic Rieske dioxygenases and ninemeta-aromatic ring cleavage enzymes demonstrating that RA1, like many other rhodococci (12), is a versatile aromatic hydrocarbon degrader."
Clone,Clone,0,PMC12068340,"The genomes were annotated via RAST46 and uploaded to mcSEED (microbial community SEED), a clone of the SEED annotation environment."
SEED,SEED,1,PMC12068340,"The genomes were annotated via RAST46and uploaded to mcSEED (microbial community SEED), a clone of the SEED annotation environment."
CORE,CORE,0,PMC11430916,"# DISCUSSION VMAP provides a means to view a rich set of features derived from vaginal microbiota data (including alpha-diversity, CSTs, and the composition of specific microbes and taxa) associated with core outcomes (delivery group) and metadata (eg, NIH racial categories, maternal age) that can be sliced and viewed interactively."
ATLAS,ATLAS,0,PMC11430916,"Although other microbiome atlases exist, such as microbioTA,11here we present a specific atlas of vaginal microbiome across pregnancy that encompasses a total of 11 projects."
ATLAS,ATLAS,0,PMC11430916,"The main drawback is this technology is highly dependent on the matching of microbiome communities to the reference which hinders the process of harmonization.10In this work, we present an atlas of the vaginal microbiota during pregnancy leveraging data across 11 studies harmonized by the open-source tool, MaLiAmPi.10This algorithm places 16S rRNA gene variable region amplicon sequence variants onto a common phylogenetic tree, successfully correcting for the technical differences and retaining more true entropy."
microbioTA,microbioTA,1,PMC11430916,"Although other microbiome atlases exist, such as microbioTA,11here we present a specific atlas of vaginal microbiome across pregnancy that encompasses a total of 11 projects."
microbioTA,microbioTA,0,PMC11430916,"The main drawback is this technology is highly dependent on the matching of microbiome communities to the reference which hinders the process of harmonization.10In this work, we present an atlas of the vaginal microbiota during pregnancy leveraging data across 11 studies harmonized by the open-source tool, MaLiAmPi.10This algorithm places 16S rRNA gene variable region amplicon sequence variants onto a common phylogenetic tree, successfully correcting for the technical differences and retaining more true entropy."
microbioTA,microbioTA,0,PMC11430916,VMAP can be a resource for those wishing to relate and understand vaginal microbiota data within the context of pregnancy.
microbioTA,microbioTA,0,PMC11430916,"# DISCUSSION VMAP provides a means to view a rich set of features derived from vaginal microbiota data (including alpha-diversity, CSTs, and the composition of specific microbes and taxa) associated with core outcomes (delivery group) and metadata (eg, NIH racial categories, maternal age) that can be sliced and viewed interactively."
microbioTA,microbioTA,0,PMC11430916,This dataset represents one of the largest and most geographically diverse aggregations of the vaginal microbiome in pregnancy to date—3880 samples from 1402 pregnant individuals—harmonized into a set of generalizable features suitable for integration of new microbiota data post-hoc.
DAVID,DAVID,0,PMC6669057,"To shed light on the giraffe phylogeny, we first used the TreeFam methodology [36] to define gene families in 8 mammalian genomes (cattle, sheep, gemsbok, yak, giraffe, Pere David's deer, horse, and human) using newly defined or available gene annotations."
TreeFam,TreeFam,1,PMC6669057,"To shed light on the giraffe phylogeny, we first used the TreeFam methodology [36] to define gene families in 8 mammalian genomes (cattle, sheep, gemsbok, yak, giraffe, Pere David's deer, horse, and human) using newly defined or available gene annotations."
DEER,DEER,0,PMC6669057,"To shed light on the giraffe phylogeny, we first used the TreeFam methodology [36] to define gene families in 8 mammalian genomes (cattle, sheep, gemsbok, yak, giraffe, Pere David's deer, horse, and human) using newly defined or available gene annotations."
ORDER,ORDER,0,PMC6669057,The RACA tool uses a combination of comparative information and sequencing data to order and orient scaffolds of target species and generate PCFs.
ORDER,ORDER,0,PMC6669057,"Using the Reference-Assisted Chromosome Assembly tool, we were able to order and orient scaffolds into 42 predicted chromosome fragments (PCFs)."
KEGG,KEGG,1,PMC6669057,"By searching the KEGG database using a best hit for each gene, 9,087 genes were mapped to a known pathway (42.03% of the genes)."
HIT,HIT,0,PMC6669057,"By searching the KEGG database using a best hit for each gene, 9,087 genes were mapped to a known pathway (42.03% of the genes)."
MAP,MAP,0,PMC6669057,"Different weights were given to each component of the score, ranging from 10% for the comparative syntenic information to 40% for the physical map using BAC data (Supplementary Table 4)."
MAP,MAP,0,PMC6669057,"### EVALUATION OF SOAPDENOVO + CHICAGO + RACA ASSEMBLY AND SCAFFOLD PLACEMENT INTO CHROMOSOMES USING FLUORESCENCEIN SITUHYBRIDIZATION To assess and map the SOAPdenovo + Chicago + RACA PCFs onto giraffe chromosomes, we performed fluorescencein situhybridization (FISH) of cattle bacterial artificial chromosomes (BACs) from the CHORI-240 library [19] with giraffe metaphase spreads (Fig.2) following previous publications [20]."
MAP,MAP,1,PMC8076240,This case of use showed how MAP can help to perform complex queries without any computational background.
MAP,MAP,1,PMC8076240,We focused on the capability of MAP to perform simple and complex queries without needing a computational background.
MAP,MAP,1,PMC8076240,We tested MAP by selecting microRNA inM.
MAP,MAP,1,PMC8076240,"## GENERATE AND EXPLORE THE LITERATURE COLLECTION MAP collects and organizes manuscripts that link microRNAs to select organisms (20), diseases (11,376—extracted from Malacards8) and miRNA names (48,916—extracted from miRbase2)."
DISEASES,DISEASES,0,PMC8076240,"## GENERATE AND EXPLORE THE LITERATURE COLLECTION MAP collects and organizes manuscripts that link microRNAs to select organisms (20), diseases (11,376—extracted from Malacards8) and miRNA names (48,916—extracted from miRbase2)."
mirBase,mirBase,1,PMC8076240,"## GENERATE AND EXPLORE THE LITERATURE COLLECTION MAP collects and organizes manuscripts that link microRNAs to select organisms (20), diseases (11,376—extracted from Malacards8) and miRNA names (48,916—extracted from miRbase2)."
MAP,MAP,1,PMC8076240,"To the best of our knowledge, MAP represents the most complete and extensive collection of data tuples (PubMed articles–GEO data–Bioinformatics analyses) associated with the microRNA field of study."
GEO,GEO,1,PMC8076240,"To the best of our knowledge, MAP represents the most complete and extensive collection of data tuples (PubMed articles–GEO data–Bioinformatics analyses) associated with the microRNA field of study."
MAP,MAP,1,PMC8076240,"Whenever possible, MAP also applies overrepresentation analysis (ORA)13using the Gene Ontology14, KEGG15and REACTOME16databases to determine whether known biological functions are enriched in the experimental setting."
MAP,MAP,1,PMC8076240,"For these reasons, we developed the microRNA Analysis Portal (MAP)."
MAP,MAP,1,PMC8076240,## SELECTION OF IMMUNE-RELATED MICRORNAS IN HUMANS The first step of our analysis consists of using the literature module of MAP to list the human microRNAs associated with immune-related MeSH terms.
MAP,MAP,1,PMC8076240,"Both MAP and MirCompare functionalities were used to predict that microRNAs fromMoringa oleiferahave putative roles across kingdoms by regulating human genes coding for proteins of the immune system.Starting from a selection of 94 human microRNAs, MirCompare selected 6Moringa oleiferafunctional homologs."
MAP,MAP,1,PMC8076240,"## PREDICTION OF CROSS-KINGDOM MIRNAS A section on the web interface of MAP is dedicated to MirCompare (version 2.0), a bioinformatics tool developed by our group in 20165."
MAP,MAP,1,PMC8076240,"In this work, we present the microRNA Analysis Portal (MAP), which aims to provide a user-friendly platform to explore the most impactful literature linking microRNAs with selected topics of interest."
MAP,MAP,1,PMC8076240,"The primary focus of MAP is to provide users with a set of bioinformatics analyses on molecular/sequencing data that, otherwise, would be difficult and time-consuming to retrieve manually."
MAP,MAP,1,PMC8076240,"At the time of this writing, MAP represents the richest, most complete and integrated database focused on microRNAs."
MAP,MAP,1,PMC8076240,"## EXTRACT MOLECULAR DATA As mentioned above, many of the records in MAP are connected with molecular datasets deposited by authors in the GEO database."
MAP,MAP,1,PMC8076240,"As reported in Fig.2A, the current version of MAP collects information from more than 113,000 manuscripts and finds connections among 116,821 genes, 1,691 microRNAs and 92,443 MeSH terms.Figure 2Statistical report of total number of data (A) and analyses (B) stored in MAP."
MAP,MAP,1,PMC8076240,"Starting from these insights, we took advantage of both MAP and MirCompare to identify microRNAs fromM."
MAP,MAP,1,PMC8076240,The “Explore” section of the MAP portal presents a snapshot of up-to-date manuscripts derived from the literature collection procedure.
MAP,MAP,1,PMC8076240,"OLEIFERAMICRORNAS INVOLVED IN IMMUNE PROCESSES According to MAP, more than 2000 research papers have been published on the role of microRNAs in immune system regulation and inflammatory processes."
MAP,MAP,1,PMC8076240,"Encouraged by the exponential growth of interest in microRNAs, their epigenetic regulation and all the aforementioned implications, we created MAP, the MicroRNAs Analytics Portal."
MAP,MAP,0,PMC8076240,"A dot plot reports the top 50 enriched terms, correlating GeneRatio, number of genes and p-value (Fig.4A); the UpSet plot emphasizes the gene overlapping among different gene sets (Fig.4B); the heat plot displays the relationships between genes and terms as a heat map, simplifying the identification of patterns (Fig.4C)."
MAP,MAP,1,PMC8076240,"Figure 4Functional enrichment analyses in MAP and MirCompare are visualized as dot plot (A), upset plot (B) and heatmap (C)."
MAP,MAP,1,PMC8076240,[TABLE-CAPTION] Description of bioinformatics analysis available in MAP.
MAP,MAP,1,PMC8076240,MAP is available athttp://stablab.uniroma2.it/MAP.
MAP,MAP,1,PMC8076240,"Figure2B reports the total number of analyses that have been performed on MAP datasets, classified by type."
MAP,MAP,1,PMC8076240,Performing this exploratory analysis in MAP is fast and easy and requires only a few clicks.
MAP,MAP,1,PMC8076240,"Exploring the relationship between miR-548 isoforms and immunity in more detail, we discovered that its involvement in the regulation of the host antiviral response via direct targeting of interferon (IFN)-mediated pathways has been well elucidated69–71.Figure 5Abundance of isoforms for human microRNAs correlated with immunity topic in MAP."
MAP,MAP,1,PMC8076240,## EVALUATION OF GENE EXPRESSION Two types of inquiries focused on the evaluation of gene expression can be conducted through the MAP user interface.
MAP,MAP,1,PMC8076240,The rapidity and flexibility of the MAP engine opens up the opportunity for periodic enrichment of our resource with minimal manual intervention.Figure 1Overview of MAP update process.
MAP,MAP,1,PMC8076240,# METHODS MAP is powered by a custom (microRNA-focused) version of the Smart Automatic Classification system (SMAC)6.
MAP,MAP,1,PMC8076240,"In this context, MAP stratifies cancer samples according to the expression levels of ER, PR and HER2 receptors."
MAPS,MAPS,0,PMC8076240,"Looking at the corresponding heat maps (Fig.6C,D), integrins (ITGs) clustered together by many of the aforementioned terms (Supplementary Table4)."
MAP,MAP,1,PMC8076240,"Starting from array-based expression data, MAP applies the ESTIMATE algorithm20to infer tumor purity from previously calculated stromal and immune scores."
GEO,GEO,1,PMC8076240,"For each GEO series (GSE), three data packages are generated to reflect sample-level granularity."
MAP,MAP,0,PMC12166227,We aim to evaluate the association between mean arterial pressure (MAP) variability and the increased risk of ischemic heart disease (IHD) and ischemic stroke (IS) among hypertensive patients in Thailand.
MAP,MAP,0,PMC12166227,"To address the issue of missing BP records, we employed marginal structural models (MSMs) to analyze the association between MAP variability and the risk of IHD and IS."
MAP,MAP,0,PMC12166227,"Moreover, due to the potential confounding factors inherent in an observational study, causality between MAP variability, IHD, and IS cannot be established."
MAP,MAP,0,PMC12157880,"[TABLE-CAPTION] In Test 2, the APE values between Improvemed RTAB-Map and RTAB-MAP as well as AMCL were compared."
MAP,MAP,0,PMC12157880,"EXPERIMENTAL ENVIRONMENTAL RECONSTRUCTION OF RTAB-MAP ALGORITHM INCORPORATING MULTI-SOURCE ODOMETRY DATA To evaluate the impact of the improved RTAB-Map algorithm on the reconstruction of the 3D environment, the algorithm was tested both before and after the fusion of multi-source odometry data in the simulated ranch scenario."
RED,RED,0,PMC12157880,"FromFigure 25a, it is evident that the improved RTAB-Map algorithm (blue curve) exhibits a lower absolute positional error (APE) than the RTAB-Map (green curve) and AMCL (red curve) for most of the time, indicating superior positioning accuracy in certain scenarios."
MAP,MAP,0,PMC12157880,"FromFigure 25a, it is evident that the improved RTAB-Map algorithm (blue curve) exhibits a lower absolute positional error (APE) than the RTAB-Map (green curve) and AMCL (red curve) for most of the time, indicating superior positioning accuracy in certain scenarios."
HAND,HAND,0,PMC12157880,"The Hector algorithm, on the other hand, addresses the matching problem using the Gaussian–Newton method."
Rice Oligonucleotide Array Database,ROAD,0,PMC12157880,"By innovatively fusing multimodal information such as 3D point clouds, 2D occupancy features, and visual road signs, they constructed a multilevel map representation that includes localization, planning, and interaction layers."
IDEAL,IDEAL,0,PMC12157880,"Prior to conducting field tests in the pasture environment, the overall performance of the robot’s autonomous navigation was assessed in a relatively ideal environment through a simulated path navigation experiment conducted in the Key Laboratory of Intelligent Perception and System Engineering of the Inner Mongolia Autonomous Region."
RED,RED,0,PMC9952413,"A typical example is RE1-silencing transcription factor (REST) (UniProt AC: Q13127, IDEAL ID: IID00169), which represses the transcription of neuron-specific genes in non-neuronal cells and neuronal progenitors (red circle inFigure 2c)."
UniProt,UniProt,1,PMC9952413,"A typical example is RE1-silencing transcription factor (REST) (UniProt AC: Q13127, IDEAL ID: IID00169), which represses the transcription of neuron-specific genes in non-neuronal cells and neuronal progenitors (red circle inFigure 2c)."
IID,IID,0,PMC9952413,"A typical example is RE1-silencing transcription factor (REST) (UniProt AC: Q13127, IDEAL ID: IID00169), which represses the transcription of neuron-specific genes in non-neuronal cells and neuronal progenitors (red circle inFigure 2c)."
IDEAL,IDEAL,1,PMC9952413,"A typical example is RE1-silencing transcription factor (REST) (UniProt AC: Q13127, IDEAL ID: IID00169), which represses the transcription of neuron-specific genes in non-neuronal cells and neuronal progenitors (red circle inFigure 2c)."
VIOLIN,VIOLIN,0,PMC9952413,"Finally, we selected 11 features, for which thep-values between the excellent and poor classes were significantly small (see violin plots inFigure S1)."
VIOLIN,VIOLIN,0,PMC9952413,"All of the violin plots, a dendrogram, and all of the figures for molecular structures were created by the Seaborn library [24] of the Python 3 language, R language [25], and PyMOL [26], respectively."
IDEAL,IDEAL,1,PMC9952413,"We noticed that the distribution of pLDDTs of ProSs in IDEAL is similar to their result [36,37]."
IID,IID,0,PMC9952413,"A representative example of group1_LH is Bcl-2-like protein 11 (UniProt AC:054918, IDEAL ID: IID50303), commonly called Bim (red triangle inFigure 2c)."
IID,IID,0,PMC9952413,"EXAMPLES OF PROSS IN THE POOR CLASS The cyclin-dependent kinase inhibitor 1, p21 (UniProt AC: P38936, IDEAL ID: IID00043) is a typical example of the poor class (blue circle inFigure 2c)."
IID,IID,0,PMC9952413,"An example of group1_SD is chromobox protein homolog 8 (Q9HC52, IID00682), commonly called Cbx8 (red square inFigure 2c)."
resource_name,matched_alias,prediction,pmcid,sentence
APID,APID,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
IntAct,IntAct,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
BioGRID,BioGRID,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
APID,APID,1,PMC12075958,"### 2.1.3 PROTEIN-PROTEIN INTERACTIONS (PPIS) NETWORK CONSTRUCTION The candidate platelet protein targets were introduced into four databases (BioGRID (Oughtred et al., 2021), IID (Kotlyar et al., 2015), APID (Alonso-López et al., 2019), and IntAct (Orchard et al., 2013)) for the retrieval of Proteins-Proteins interactions."
BioGRID,BioGRID,1,PMC12075958,"### 2.1.3 PROTEIN-PROTEIN INTERACTIONS (PPIS) NETWORK CONSTRUCTION The candidate platelet protein targets were introduced into four databases (BioGRID (Oughtred et al., 2021), IID (Kotlyar et al., 2015), APID (Alonso-López et al., 2019), and IntAct (Orchard et al., 2013)) for the retrieval of Proteins-Proteins interactions."
IID,IID,1,PMC12075958,"### 2.1.3 PROTEIN-PROTEIN INTERACTIONS (PPIS) NETWORK CONSTRUCTION The candidate platelet protein targets were introduced into four databases (BioGRID (Oughtred et al., 2021), IID (Kotlyar et al., 2015), APID (Alonso-López et al., 2019), and IntAct (Orchard et al., 2013)) for the retrieval of Proteins-Proteins interactions."
IID,IID,1,PMC12075958,"According to four databases (BioGRID, IID, APID, and IntAct), 585 genes were found in the platelets to be associated with the three proteins (PKC: 319; P38α-MAPK: 106 and SOD: 228;Figure 5C); these interactions were constructed with the use of Cytoscape software (Figures 5D–G)."
